Job Title,Company Name,Location,Job Link,Recommended Resume,Missing Keywords to Add,Match Score
Data Scientist,visa,"US - Foster City, CA",https://visa.wd5.myworkdayjobs.com/Visa/job/US---Foster-City-CA/Data-Scientist_REF087803W,DS_Finance,Recommender Systems -> Statistics & Experimentation line; R -> Programming Languages line,5
Graduate Software Engineer,imc,"Chicago, United States",https://job-boards.eu.greenhouse.io/imc/jobs/4818790101,SWE,C++ -> Programming Languages line,3
"Applied Scientist- Pricing, Dynamic Pricing & Offer Selection",lyft,"San Francisco, CA",https://app.careerpuck.com/job-board/lyft/job/8402813002?gh_jid=8402813002,DS,,5
"Software Engineer, Fulfillment Core Services",lyft,"Seattle, WA",https://app.careerpuck.com/job-board/lyft/job/8716222002?gh_jid=8716222002,SWE,Go (Golang) -> Programming Languages line; Azure -> Cloud / DevOps / MLOps line,4
"Software Engineer III, Infrastructure, Infra Bigtable",google,"New York, NY, USA",https://www.google.com/about/careers/applications/jobs/results/101599343911281350,ML,C++ -> Programming Languages line,5
"Analytics Engineer, Data Science",doordashusa,"Austin, TX; Chicago, IL; New York, NY; San Francisco, CA; San Jose, CA; Seattle, WA; Los Angeles, CA; Washington D.C.",https://job-boards.greenhouse.io/doordashusa/jobs/7967918,DE,Data Visualization -> Analytics & Visualization line; Data Warehousing -> Databases & Storage line,4
"Software Engineer, Android (All Teams)",doordashusa,"Sunnyvale, CA; San Francisco, CA; Seattle, WA",https://job-boards.greenhouse.io/doordashusa/jobs/5630438,SWE,,5
"Software Engineer, Backend (All Teams)",doordashusa,"Sunnyvale, CA; San Francisco, CA; New York, NY; Seattle, WA; Ann Arbor, MI",https://job-boards.greenhouse.io/doordashusa/jobs/5630445,SWE,Elasticsearch -> Databases & Storage line,5
"Software Engineer, Spark Platform",doordashusa,"San Francisco, CA; Seattle, WA; Sunnyvale, CA; New York, NY",https://job-boards.greenhouse.io/doordashusa/jobs/8044370,SWE,Scala -> Programming Languages line; Go (Golang) -> Programming Languages line,5
"Software Engineer, Storage",doordashusa,"San Francisco, CA; Seattle, WA; New York, NY",https://job-boards.greenhouse.io/doordashusa/jobs/8024644,SWE,Go (Golang) -> Programming Languages line; DynamoDB -> Databases & Storage line,5
C++ Software Engineer,imc,"Chicago, United States; New York, United States",https://job-boards.eu.greenhouse.io/imc/jobs/4673650101,SWE,C++ -> Programming Languages line,1
Machine Learning Researcher,imc,"Chicago, United States; New York, United States",https://job-boards.eu.greenhouse.io/imc/jobs/4699252101,DS,,5
"Software Engineer, Early Career",imc,"Chicago, United States",https://job-boards.eu.greenhouse.io/imc/jobs/4577504101,SWE,C++ -> Programming Languages line,3
"Software Engineer I, Memberships",amazon,"San Francisco, California, USA",https://www.amazon.jobs/en/jobs/10515912/software-engineer-i-memberships,SWE,TypeScript -> Programming Languages line; React -> Software Engineering Practices line; Go (Golang) -> Programming Languages line; DynamoDB -> Databases & Storage line,3
System Software Engineer - Trusted Firmware,nvidia,"US, CA, Santa Clara",https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/System-Software-Engineer---Trusted-Firmware_JR2023340,SWE,C++ -> Programming Languages line,1
"Informatics and AI engineer, Biotherapeutics",pfizer,United States - Massachusetts - Cambridge,https://pfizer.wd1.myworkdayjobs.com/PfizerCareers/job/United-States---Massachusetts---Cambridge/Informatics-and-AI-engineer--Biotherapeutics_4958820-1,ML,Linux/Unix -> Cloud / DevOps / MLOps Tools line; Docker -> Cloud / DevOps / MLOps Tools line,5
"Software Engineer, Machine Learning RecSys",meta,"Sunnyvale, CA; Bellevue, WA; Menlo Park, CA; New York, NY; San Francisco, CA",https://www.metacareers.com/jobs/1665891037811282/,ML,Observability (no matching line yet); JavaScript -> Programming Languages line; C++ -> Programming Languages line; Bash/Shell -> Programming Languages line,4
"Research Scientist, Demography and Survey Sciences",meta,"Menlo Park, CA; Seattle, WA; New York, NY",https://www.metacareers.com/jobs/25066716436359390/,ML,R -> Programming Languages line,5
"Software Engineer, Systems ML - Compilers / Backend",meta,"Sunnyvale, CA",https://www.metacareers.com/jobs/2145505832666693/,ML,C++ -> Programming Languages line,5
"Software Engineer, Global Banking & Markets, Trading Technology",goldmansachs,"Salt Lake City, UT, United States",https://higher.gs.com/roles/182893,SWE,gRPC -> Systems & Distributed Computing line,5
"The Core Engineering-Corporate Treasury, New York, Associate, Software Engineering",goldmansachs,"New York, NY, United States",https://higher.gs.com/roles/178036,SWE,,5
